study_test,test_words,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,text.started,slider.started,slider.response,slider.rt,text_2.started,textbox.started,text_3.started,mouse.started,textbox.text,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,mouse.clicked_name,participant,session,date,expName,psychopyVersion,frameRate,
piano,,0,0,0,4,,,,,19.24184640002204,19.24184640002204,1.8296296296296297,1.6424944999744184,,,,,,,,,,,,,839147,001,2022-10-14_11h57.38.464,t5,2022.2.2,60.00312017203683,
book,,0,1,1,2,,,,,20.900041399989277,20.900041399989277,2.5407407407407407,1.1564393999869935,,,,,,,,,,,,,839147,001,2022-10-14_11h57.38.464,t5,2022.2.2,60.00312017203683,
vase,,0,2,2,0,,,,,22.077816299977712,22.077816299977712,2.9592592592592593,1.7390068999957293,,,,,,,,,,,,,839147,001,2022-10-14_11h57.38.464,t5,2022.2.2,60.00312017203683,
cushion,,0,3,3,3,,,,,23.84500470000785,23.84500470000785,1.9777777777777779,1.1620268000406213,,,,,,,,,,,,,839147,001,2022-10-14_11h57.38.464,t5,2022.2.2,60.00312017203683,
tiger,,0,4,4,1,,,,,25.034634899988305,25.034634899988305,2.6148148148148147,0.9687255000462756,,,,,,,,,,,,,839147,001,2022-10-14_11h57.38.464,t5,2022.2.2,60.00312017203683,
,_ea_o_,,,,,0,0,0,5,,,,,26.038884299981873,26.038884299981873,26.038884299981873,0.011168900004122406,,[],[],[],[],[],[],[],839147,001,2022-10-14_11h57.38.464,t5,2022.2.2,60.00312017203683,
,o_a_n_e,,,,,0,1,1,9,,,,,36.032621500024106,36.032621500024106,36.032621500024106,0.009634500020183623,orange,[0.11666666666666667],[-0.30648148148148147],[1],[0],[0],[5.20983399997931],['text_3'],839147,001,2022-10-14_11h57.38.464,t5,2022.2.2,60.00312017203683,
,_ia_o,,,,,0,2,2,4,,,,,41.2477896999917,41.2477896999917,41.2477896999917,0.0034891999675892293,piano,[0.06574074074074074],[-0.32407407407407407],[1],[0],[0],[3.2790919999824837],['text_3'],839147,001,2022-10-14_11h57.38.464,t5,2022.2.2,60.00312017203683,
,_oo_,,,,,0,3,3,2,,,,,44.53044579998823,44.53044579998823,44.53044579998823,0.0021498000132851303,book,[0.05277777777777778],[-0.30833333333333335],[1],[0],[0],[3.3619619999662973],['text_3'],839147,001,2022-10-14_11h57.38.464,t5,2022.2.2,60.00312017203683,
,_a_e,,,,,0,4,4,0,,,,,47.89640409999993,47.89640409999993,47.89640409999993,0.002659599995240569,lane,[0.05277777777777778],[-0.30833333333333335],[1],[0],[0],[3.7611226000008173],['text_3'],839147,001,2022-10-14_11h57.38.464,t5,2022.2.2,60.00312017203683,
,c_m_r_,,,,,0,5,5,6,,,,,51.6619456000044,51.6619456000044,51.6619456000044,0.0020247999927960336,camera,[0.05277777777777778],[-0.30833333333333335],[1],[0],[0],[3.8292816000175662],['text_3'],839147,001,2022-10-14_11h57.38.464,t5,2022.2.2,60.00312017203683,
,_p_a_d_,,,,,0,6,6,7,,,,,55.49615379999159,55.49615379999159,55.49615379999159,0.006882699963171035,ipad,[],[],[],[],[],[],[],839147,001,2022-10-14_11h57.38.464,t5,2022.2.2,60.00312017203683,
,t_g_r,,,,,0,7,7,1,,,,,65.50926329998765,65.50926329998765,65.50926329998765,0.016501199977938086,tiger,[0.05277777777777778],[-0.30833333333333335],[1],[0],[0],[2.929115400009323],['text_3'],839147,001,2022-10-14_11h57.38.464,t5,2022.2.2,60.00312017203683,
,_o_s_,,,,,0,8,8,8,,,,,68.44105010002386,68.44105010002386,68.44105010002386,0.002161900047212839,moose,[0.05277777777777778],[-0.30833333333333335],[1],[0],[0],[4.12915549997706],['text_3'],839147,001,2022-10-14_11h57.38.464,t5,2022.2.2,60.00312017203683,
,c_sh_o_n,,,,,0,9,9,3,,,,,72.57369109999854,72.57369109999854,72.57369109999854,0.002167199971154332,cushion,[0.05277777777777778],[-0.30833333333333335],[1],[0],[0],[3.912844899983611],['text_3'],839147,001,2022-10-14_11h57.38.464,t5,2022.2.2,60.00312017203683,
